formula,GGA_Eg,pred_Eg,pred_Eg_std,predicted_non_metal,is_false_metal_rescued,formation_energy_per_atom,tolerance_factor,pb_fraction
Ba2LiUO6,0.0,2.0999900000000027,1.0059083705288454,1,1,-3.147045258,0.853567651,0.0
Ba2LuBiO6,1.4518,2.4856499999999953,1.2921651316685498,1,0,-2.873469374,0.87968498,0.0
Ba2LuIrO6,0.0,1.6049700000000018,1.13459356119273,1,1,-2.825557366,0.919188678,0.0
Ba2LuMoO6,0.0,1.9484100000000042,1.2248597560129078,1,1,-3.122897494,0.910580027,0.0
Ba2LuNbO6,2.851,3.520900000000011,0.9169958505903925,1,0,-3.515518001,0.90422862,0.0
Ba2LuReO6,0.0,1.7798700000000036,1.1956579916932768,1,1,-3.092517625,0.917021291,0.0
Ba2LuRuO6,0.0716,2.5064200000000016,1.2520850145257711,1,1,-2.896702435,0.920276218,0.0
Ba2LuSbO6,3.2383,3.466490000000001,1.1574262524670837,1,0,-3.137416366,0.912717037,0.0
Ba2LuTaO6,3.4089,3.721960000000003,0.9586153339061508,1,0,-3.636215549,0.90422862,0.0
Ba2LuUO6,0.8354,2.6740699999999977,1.2516562567654115,1,0,-3.708536569,0.87968498,0.0
Ba2MgMoO6,2.2639,3.324130000000002,0.9105390673112265,1,0,-2.878094476,0.94624995,0.0
Ba2MgOsO6,0.0,1.7461900000000035,1.2068074966207318,1,1,-2.612410918,0.956725042,0.0
Ba2MgReO6,0.0,1.8412600000000043,1.1964394311455973,1,1,-2.849553935,0.932634843,0.0
Ba2MgUO6,2.0589,3.3205799999999948,1.1774945705182678,1,0,-3.469780218,0.915079364,0.0
Ba2MgWO6,3.2494,3.674820000000004,0.9794596814570778,1,0,-2.957056778,0.943953227,0.0
Ba2MnMoO6,1.3696,2.5049600000000014,1.0622429563899234,1,0,-2.67305225,0.957903275,0.0
Ba2MnNbO6,1.4834,2.66629,0.9424205462000496,1,0,-2.973329459,0.967434651,0.0
Ba2MnReO6,0.3665,2.172870000000002,1.3179423405824706,1,0,-2.648547342,0.943953227,0.0
Ba2MnTeO6,0.9487,2.5857100000000006,1.0882249978290328,1,0,-2.490990278,0.965034069,0.0
Ba2MnWO6,2.3107,2.8666600000000018,1.231156141356571,1,0,-2.748774973,0.955549704,0.0
Ba2NaIO6,2.2419,3.3182799999999966,0.8210706678477799,1,0,-2.220075652,0.885108257,0.0
Ba2NaOsO6,0.0,1.9619800000000043,1.2019511968461964,1,1,-2.398299648,0.895071875,0.0
Ba2NaReO6,1.9174,3.3789899999999986,0.9582894290870576,1,0,-2.700638989,0.894043057,0.0
Ba2NaUO6,0.0,2.1132300000000024,1.0013565883839763,1,1,-3.088794136,0.806846053,0.0
Ba2NbBiO6,2.1946,3.136249999999998,1.127519839071578,1,0,-2.845598907,0.870041901,0.0
Ba2NbCoO6,1.5346,1.4948400000000022,1.1185318387958376,1,0,-2.745938167,0.975931568,0.0
Ba2NbCrO6,1.583,3.090179999999999,0.7259400578560179,1,0,-3.066770315,0.959084413,0.0
Ba2NbFeO6,1.7475,1.6475,0.952307790317816,1,0,-2.952504281,0.974708596,0.0
Ba2NbInO6,3.3585,3.891260000000008,0.7947081303220712,1,0,-2.969497385,0.91723757,0.0
Ba2NbRhO6,0.9328,2.748069999999999,0.9858179979590546,1,0,-2.744968845,0.947402508,0.0
Ba2NbVO6,0.0,2.009230000000002,0.9978510194913849,1,1,-3.126944857,0.953207671,0.0
Ba2NdBiO6,1.8717,2.7461599999999917,1.1286265788116088,1,0,-2.773440774,0.856061478,0.0
Ba2NdIrO6,0.0,1.7073600000000013,1.0756302944785436,1,1,-2.702385373,0.8934269,0.0
Ba2NdMoO6,1.1069,2.8334799999999976,1.067350078277976,1,0,-3.032351575,0.885291895,0.0
Ba2NdNbO6,2.9943,3.4002799999999986,0.7839994397957181,1,0,-3.383491194,0.879287202,0.0
Ba2NdReO6,0.0,1.7679100000000012,1.0784374724108958,1,1,-2.960144465,0.891379165,0.0
Ba2NdRuO6,0.166,2.5787799999999965,1.040839138195716,1,0,-2.770844787,0.8944543,0.0
Ba2NdSbO6,3.7031,3.6031,1.0340205450570117,1,0,-3.022614051,0.887311726,0.0
Ba2NdTaO6,3.5087,3.4087,0.7536856986834773,1,0,-3.503675167,0.879287202,0.0
Ba2NiMoO6,2.3773,2.389690000000004,1.2636264692938346,1,0,-2.453663259,0.953207671,0.0
Ba2NiOsO6,0.0,1.217770000000001,1.1264326775711018,1,1,-1.974143499,0.96383824,0.0
Ba2NiTeO6,0.0,1.7487200000000047,1.047676124381958,1,1,-2.248694804,0.915079364,0.0
Ba2NiWO6,3.3607,3.2607,1.655194818110541,1,0,-2.52646897,0.95087709,0.0
Ba2PrBiO6,1.9422,2.7444999999999924,1.1136849868791454,1,0,-2.757028613,0.854744461,0.0
Ba2PrIrO6,0.0,1.6979600000000012,1.0566315054928086,1,1,-2.682676382,0.891992499,0.0
Ba2PrNbO6,2.9817,3.3493000000000004,0.8023593396976199,1,0,-3.365046771,0.87789781,0.0
Ba2PrPbO6,0.0,1.8681099999999995,0.9132991721774433,1,1,-2.569190061,0.878889785,0.1
Ba2PrPtO6,0.0,1.8774900000000014,0.9967207482038277,1,1,-2.570423128,0.891992499,0.0
Ba2PrRuO6,0.1796,2.559839999999997,1.0388644639220272,1,0,-2.751994434,0.893016601,0.0
Ba2PrSbO6,3.713,3.613,1.0473340500528003,1,0,-3.005091988,0.885896878,0.0
Ba2PrSnO6,0.0,2.2891500000000007,0.9312630280967895,1,1,-2.811233635,0.896103064,0.0
Ba2PrTaO6,3.4939,3.3939,0.8057077882210143,1,0,-3.484690771,0.87789781,0.0
Ba2PuMnO6,0.0,1.8692600000000044,0.8834814386278875,1,1,-3.049261232,0.930403659,0.0
Ba2PuTaO6,0.0,1.7695500000000022,1.1246133324391996,1,1,-3.393618453,0.875920562,0.0
Ba2PuTiO6,0.2462,2.3615700000000017,1.1791455317729023,1,0,-3.457964208,0.911861031,0.0
